analysis_type,comparison,loss_type,class_id,class_name,delta_f1,delta_recall,interpretation
seedwise_Macro-F1_delta,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Prototype,,seed_4,0.0011557214956520179,,improved
seedwise_Weighted-F1_delta,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Prototype,,seed_0,,,negative_transfer
seedwise_Weighted-F1_delta,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Prototype,,seed_1,,,negative_transfer
seedwise_Weighted-F1_delta,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Prototype,,seed_2,,,negative_transfer
seedwise_Weighted-F1_delta,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Prototype,,seed_3,,,improved
seedwise_Weighted-F1_delta,HybridSN-small vs Spectral QNN Gated Fusion + Prototype Loss,Prototype,,seed_4,,,negative_transfer
per_class_f1_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,14.0,Vinyard_untrained,-0.10952844613831147,-0.09619205298013256,degraded
per_class_f1_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,7.0,Grapes_untrained,-0.059837646859101645,-0.0615411963381034,degraded
per_class_f1_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,15.0,Vinyard_vertical_trellis,-0.0008469867414451215,-0.00134303301622829,near_neutral
per_class_f1_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,1.0,Brocoli_green_weeds_2,9.46349349995046e-08,0.00021586616297886163,near_neutral
per_class_f1_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,0.0,Brocoli_green_weeds_1,4.978380690123796e-05,-0.0003016591251885359,near_neutral
per_class_f1_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,8.0,Soil_vinyard_develop,0.0006710838176406941,0.0,near_neutral
per_class_f1_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,2.0,Fallow,0.0009085095290245482,0.00010224948875259265,near_neutral
per_class_f1_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,9.0,Corn_senesced_green_weeds,0.0023364821983689055,0.003376304481276682,near_neutral
per_class_f1_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,11.0,Lettuce_romaine_5wk,0.004763815818386363,0.0062926061877294215,near_neutral
per_class_f1_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,10.0,Lettuce_romaine_4wk,0.012038435023622673,-0.0003816793893129944,near_neutral
per_class_f1_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,5.0,Stubble,0.013153218502978348,0.006448337141406468,near_neutral
per_class_f1_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,6.0,Celery,0.013153495181026376,0.024501264400112355,near_neutral
per_class_f1_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,13.0,Lettuce_romaine_7wk,0.024616792224908868,0.005333333333333301,improved
per_class_f1_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,4.0,Fallow_smooth,0.0395488076321191,0.06358164033107594,improved
per_class_f1_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,12.0,Lettuce_romaine_6wk,0.04060519310610555,0.07209821428571428,improved
per_class_f1_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,3.0,Fallow_rough_plow,0.06035707477000063,0.0008733624454148048,improved
seedwise_OA_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,,seed_0,,,negative_transfer
seedwise_OA_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,,seed_1,,,negative_transfer
seedwise_OA_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,,seed_2,,,negative_transfer
seedwise_OA_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,,seed_3,,,negative_transfer
seedwise_OA_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,,seed_4,,,improved
seedwise_Macro-F1_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,,seed_0,-0.007008366791286802,,negative_transfer
seedwise_Macro-F1_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,,seed_1,-0.0039037265945809363,,negative_transfer
seedwise_Macro-F1_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,,seed_2,-0.0015642394078824173,,negative_transfer
seedwise_Macro-F1_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,,seed_3,-0.00734986974231322,,negative_transfer
seedwise_Macro-F1_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,,seed_4,0.03294798581955083,,improved
seedwise_Weighted-F1_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,,seed_0,,,negative_transfer
seedwise_Weighted-F1_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,,seed_1,,,negative_transfer
seedwise_Weighted-F1_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,,seed_2,,,negative_transfer
seedwise_Weighted-F1_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,,seed_3,,,negative_transfer
seedwise_Weighted-F1_delta,HybridSN-small vs Spectral QNN Gated Fusion + SupCon Loss,SupCon,,seed_4,,,improved
